City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vallenar,-28.5708,-70.7581,294.25,39,100,1.82,CL,1691589045
1,maceio,-9.6658,-35.7353,298.84,73,75,5.14,BR,1691589046
2,oppdal,62.5943,9.6912,285.91,70,98,6.81,NO,1691589046
3,isangel,-19.55,169.2667,293.33,72,70,6.06,VU,1691589046
4,margaret river,-33.95,115.0667,284.48,69,74,0.87,AU,1691588864
5,tiksi,71.6872,128.8694,289.87,53,22,3.67,RU,1691589047
6,adamstown,-25.066,-130.1015,293.43,63,83,11.94,PN,1691589047
7,mamuju,-2.6748,118.8885,298.79,86,43,2.73,ID,1691589047
8,coyhaique,-45.5752,-72.0662,277.12,100,100,1.54,CL,1691588875
9,queenstown,-31.8976,26.8753,293.21,31,0,1.4,ZA,1691589048
10,lazaro cardenas,17.9583,-102.2,301.28,82,63,1.8,MX,1691589048
11,college,64.8569,-147.8028,289.12,96,100,0.0,US,1691589048
12,waitangi,-43.9535,-176.5597,282.49,77,54,4.47,NZ,1691589048
13,ambodifotatra,-16.9833,49.85,296.52,78,10,8.26,MG,1691589048
14,aasiaat,68.7098,-52.8699,277.97,75,62,1.86,GL,1691589049
15,west island,-12.1568,96.8225,299.14,73,75,6.69,CC,1691589049
16,hermanus,-34.4187,19.2345,293.6,62,0,3.95,ZA,1691589049
17,uturoa,-16.7333,-151.4333,298.28,71,98,7.88,PF,1691589049
18,port-aux-francais,-49.35,70.2167,275.63,75,10,8.82,TF,1691589050
19,hastings,50.8552,0.5729,296.15,22,16,3.63,GB,1691589050
20,taro,-8.3862,115.28,294.18,92,55,0.77,ID,1691589050
21,taroa,8.7058,171.2275,300.07,82,42,4.34,MH,1691589050
22,puerto ayora,-0.7393,-90.3518,297.34,91,100,1.34,EC,1691589050
23,roma,43.2128,-75.4557,295.58,84,75,4.12,US,1691588883
24,ushuaia,-54.8,-68.3,275.96,87,0,1.03,AR,1691589051
25,mochudi,-24.4167,26.15,297.48,14,1,4.31,BW,1691589051
26,vilyuchinsk,52.9306,158.4028,287.3,74,100,4.48,RU,1691589051
27,edinburgh of the seven seas,-37.0676,-12.3116,284.82,55,46,8.24,SH,1691589051
28,saipan,15.1355,145.701,300.54,100,40,3.6,MP,1691589052
29,montepuez,-13.1256,38.9997,301.11,23,23,2.56,MZ,1691589052
30,guatrache,-37.6678,-63.5302,284.21,50,84,7.87,AR,1691589052
31,anadyr,64.75,177.4833,282.04,87,100,5.0,RU,1691589052
32,klyuchi,52.2667,79.1667,298.01,38,14,1.34,RU,1691589052
33,hithadhoo,-0.6,73.0833,301.07,71,58,0.86,MV,1691589052
34,carnarvon,-24.8667,113.6333,293.68,72,73,6.63,AU,1691589053
35,krishnagiri,12.5333,78.2333,302.06,51,100,0.64,IN,1691589053
36,grytviken,-54.2811,-36.5092,268.78,81,15,4.39,GS,1691589053
37,ust-tsilma,65.441,52.1498,298.22,49,39,1.42,RU,1691589053
38,goondiwindi,-28.55,150.3167,284.55,55,85,3.58,AU,1691589053
39,inda silase,14.1031,38.2829,293.02,81,95,2.68,ET,1691589054
40,invercargill,-46.4,168.35,275.94,91,100,1.34,NZ,1691589054
41,qaqortoq,60.7167,-46.0333,281.9,63,27,3.36,GL,1691589054
42,albany,42.6001,-73.9662,296.28,74,100,0.89,US,1691589054
43,sao gabriel da cachoeira,-0.1303,-67.0892,298.04,100,100,1.54,BR,1691589055
44,kodiak,57.79,-152.4072,284.88,94,100,3.09,US,1691589055
45,papatowai,-46.5619,169.4708,275.89,80,80,3.67,NZ,1691589055
46,aykhal,66.0,111.5,290.95,47,0,7.36,RU,1691589055
47,minas de marcona,-15.2119,-75.1103,288.54,70,31,3.61,PE,1691589055
48,merritt,50.1123,-120.7942,287.77,93,100,0.45,CA,1691589055
49,ennis,52.8436,-8.9864,297.11,64,75,3.09,IE,1691589007
50,sitka,57.0531,-135.33,287.09,94,100,2.57,US,1691589056
51,masonboro,34.1793,-77.8475,302.12,67,0,1.34,US,1691589056
52,port mathurin,-19.6833,63.4167,296.19,65,65,8.01,MU,1691589056
53,tanumah,27.1,44.1333,315.21,6,0,6.34,SA,1691589056
54,yellowknife,62.456,-114.3525,288.44,72,100,4.63,CA,1691588821
55,olonkinbyen,70.9221,-8.7187,279.09,98,100,6.56,SJ,1691589056
56,whitehorse,60.7161,-135.0538,282.49,83,75,2.06,CA,1691589057
57,bredasdorp,-34.5322,20.0403,291.12,69,0,5.21,ZA,1691589057
58,badger,64.8,-147.5333,289.08,96,100,0.0,US,1691589057
59,acarau,-2.8856,-40.12,302.44,61,62,7.31,BR,1691589057
60,zheleznogorsk,52.331,35.3711,292.65,61,36,3.66,RU,1691589057
61,blackmans bay,-43.0167,147.3167,284.67,63,100,3.32,AU,1691589057
62,puerto natales,-51.7236,-72.4875,275.38,93,100,0.67,CL,1691588854
63,touros,-5.1989,-35.4608,301.99,63,53,7.6,BR,1691588864
64,ciudad lazaro cardenas,17.9583,-102.2,301.28,82,63,1.8,MX,1691589058
65,concepcion del oro,24.6333,-101.4167,292.47,53,7,2.5,MX,1691589058
66,maumere,-8.6199,122.2111,297.38,76,30,2.44,ID,1691589058
67,bilibino,68.0546,166.4372,280.21,63,100,1.81,RU,1691589058
68,taoudenni,22.6783,-3.9836,320.87,7,0,5.71,ML,1691589059
69,kharabali,47.4196,47.2568,310.78,21,100,4.42,RU,1691589059
70,ilulissat,69.2167,-51.1,282.16,61,20,2.06,GL,1691589059
71,pacific grove,36.6177,-121.9166,288.72,92,100,2.06,US,1691589059
72,krivodanovka,55.0881,82.6551,292.2,68,40,2.0,RU,1691589059
73,salekhard,66.53,66.6019,289.22,60,99,2.59,RU,1691589059
74,lihue,21.9789,-159.3672,299.92,75,100,8.23,US,1691589060
75,polyarnyy,69.1989,33.4478,297.44,57,1,2.05,RU,1691589060
76,codrington,-38.2667,141.9667,283.51,94,100,6.74,AU,1691589060
77,magadan,59.5667,150.8,285.62,71,99,3.76,RU,1691589060
78,shimoda,34.6667,138.95,299.32,90,55,4.95,JP,1691589060
79,longyearbyen,78.2186,15.6401,284.06,62,0,6.17,SJ,1691589061
80,paradise valley,33.5312,-111.9427,305.19,43,0,3.09,US,1691589061
81,bardai,11.65,7.2333,301.12,60,98,5.15,NG,1691589061
82,nadi,-17.8,177.4167,295.15,88,40,2.06,FJ,1691588841
83,port blair,11.6667,92.75,300.9,83,100,6.69,IN,1691589062
84,lethem,3.3803,-59.7968,304.07,59,12,2.78,GY,1691589062
85,st. john's,47.5649,-52.7093,287.41,88,100,1.03,CA,1691588884
